Ref,Val,Package,PosX,PosY,Rot,Side
"R117","100k","R_0402_1005Metric",211.139199,-149.250000,0.000000,bottom
"R118","49.9k","R_0402_1005Metric",214.000000,-145.250000,90.000000,bottom
"R119","49.9k","R_0402_1005Metric",214.000000,-134.500000,90.000000,bottom
"R120","100k","R_0402_1005Metric",211.139199,-138.500000,0.000000,bottom
"R121","105k","R_0402_1005Metric",213.948800,-122.759400,90.000000,bottom
"R122","105k","R_0402_1005Metric",213.948800,-112.259400,90.000000,bottom
"R123","100k","R_0402_1005Metric",211.968001,-127.259400,0.000000,bottom
"R124","100k","R_0402_1005Metric",211.968001,-116.759400,0.000000,bottom
"R131","1k","R_0402_1005Metric",267.680000,-37.900000,90.000000,bottom
"R132","1k","R_0402_1005Metric",265.140000,-37.900000,90.000000,bottom
"R134","1k","R_0402_1005Metric",262.600000,-37.900000,90.000000,bottom
"R135","1k","R_0402_1005Metric",260.060000,-37.900000,90.000000,bottom
"R136","1k","R_0402_1005Metric",257.520000,-37.900000,90.000000,bottom
"R137","1k","R_0402_1005Metric",260.130000,-41.370000,90.000000,bottom
"R138","1k","R_0402_1005Metric",259.047500,-41.370000,90.000000,bottom
"R139","1k","R_0402_1005Metric",257.965000,-41.370000,90.000000,bottom
"R140","1k","R_0402_1005Metric",256.882500,-41.370000,90.000000,bottom
"R141","1k","R_0402_1005Metric",255.800000,-41.370000,90.000000,bottom
"R142","1k","R_0402_1005Metric",207.860000,-50.750000,90.000000,bottom
"R143","1k","R_0402_1005Metric",210.400000,-50.750000,90.000000,bottom
"U10","TPD4E05U06DQA","USON-10_2.5x1.0mm_P0.5mm",211.000000,-88.865000,90.000000,bottom
"U15","TPS2553DBVR","DBV6",211.579200,-146.632400,90.000000,bottom
"U16","USBLC6-2SC6","SOT-23-6",235.250000,-35.250000,-90.000000,bottom
"U17","TPD4E05U06DQA","USON-10_2.5x1.0mm_P0.5mm",211.000000,-53.090000,90.000000,bottom
