Designator,Mid X,Mid Y,Rotation,Layer
C25,228.480000,-104.275000,0.000000,Top
C26,242.500000,-104.900000,90.000000,Top
C27,238.100000,-29.480000,0.000000,Top
C28,221.800000,-135.000000,180.000000,Top
C29,222.300000,-132.250000,180.000000,Top
C30,222.550000,-130.500000,180.000000,Top
C31,234.340000,-101.960000,0.000000,Top
C32,247.710000,-80.275000,270.000000,Top
C33,226.250000,-77.040000,180.000000,Top
C34,238.770000,-77.040000,180.000000,Top
C35,247.710000,-86.000000,90.000000,Top
C36,247.710000,-97.545000,90.000000,Top
C37,233.250000,-77.100000,180.000000,Top
C38,242.000000,-102.900000,0.000000,Top
C39,241.000000,-101.960000,180.000000,Top
C40,222.790000,-86.505000,270.000000,Top
C41,222.790000,-91.590000,270.000000,Top
C42,223.000000,-98.795000,90.000000,Top
C43,247.710000,-91.045000,90.000000,Top
C44,253.550000,-53.800000,270.000000,Top
C45,252.100000,-53.700000,90.000000,Top
C46,253.200000,-134.800000,0.000000,Top
C47,233.250000,-76.100000,180.000000,Top
C48,255.250000,-126.900000,90.000000,Top
C50,216.500000,-85.420000,90.000000,Top
C51,226.230000,-75.750000,180.000000,Top
C52,249.000000,-80.275000,90.000000,Top
C53,232.300000,-108.950000,90.000000,Top
C54,217.800000,-115.750000,180.000000,Top
C55,224.800000,-123.050000,180.000000,Top
C56,217.800000,-113.250000,180.000000,Top
C57,221.000000,-123.450000,270.000000,Top
C58,219.550000,-123.000000,0.000000,Top
C59,223.050000,-125.750000,0.000000,Top
C60,223.050000,-128.250000,0.000000,Top
C61,222.300000,-133.750000,0.000000,Top
C62,219.250000,-83.900000,0.000000,Top
C63,218.975000,-82.600000,0.000000,Top
C64,251.210000,-134.800000,180.000000,Top
C65,249.759998,-136.250000,90.000000,Top
C66,259.260000,-140.000000,270.000000,Top
C67,250.700001,-74.850000,90.000000,Top
C68,216.210500,-60.970000,90.000000,Top
C74,248.680001,-72.300000,0.000000,Top
C75,248.950001,-71.050000,0.000000,Top
C76,245.750000,-132.655000,0.000000,Top
C77,243.025000,-136.810000,0.000000,Top
C78,250.500000,-68.350000,270.000000,Top
C79,250.500000,-65.150000,90.000000,Top
C80,251.850000,-65.300000,90.000000,Top
C81,215.618000,-67.740000,270.000000,Top
C82,218.868000,-66.240000,0.000000,Top
C83,218.388000,-73.240000,180.000000,Top
C92,254.510000,-26.130000,270.000000,Top
C93,254.510000,-24.130000,90.000000,Top
C94,260.000000,-26.450000,270.000000,Top
C95,258.010000,-26.670000,270.000000,Top
C96,243.025000,-139.310000,0.000000,Top
C97,243.025000,-141.810000,0.000000,Top
C98,243.025000,-144.310000,0.000000,Top
C100,227.500000,-26.750000,270.000000,Top
C103,224.900000,-22.100000,0.000000,Top
C104,227.500000,-24.750000,90.000000,Top
C105,212.480000,-40.100000,180.000000,Top
D1,211.000000,-36.200000,270.000000,Top
D2,244.200000,-147.350000,0.000000,Top
D5,243.490000,-117.250000,270.000000,Top
FB1,256.000000,-26.450000,90.000000,Top
FB2,244.000000,-104.900000,270.000000,Top
FB4,228.900000,-27.300000,270.000000,Top
J1,264.600000,-143.150000,90.000000,Top
J2,235.230000,-23.650000,180.000000,Top
J3,262.700000,-56.160000,90.000000,Top
J5,265.546200,-127.740800,90.000000,Top
J6,239.270000,-151.650000,0.000000,Top
J7,204.953800,-142.240800,270.000000,Top
J8,204.953800,-131.625800,270.000000,Top
J9,266.050000,-43.520000,90.000000,Top
J10,265.546200,-118.516200,90.000000,Top
J11,265.546200,-109.291600,90.000000,Top
J12,265.546200,-100.067000,90.000000,Top
J13,265.546200,-90.842400,90.000000,Top
J14,265.546200,-81.617800,90.000000,Top
J15,231.230000,-151.650000,0.000000,Top
J16,225.116667,-151.650000,0.000000,Top
J17,219.003333,-151.650000,0.000000,Top
J18,212.890000,-151.650000,0.000000,Top
J19,257.610000,-151.650000,0.000000,Top
J20,251.496667,-151.650000,0.000000,Top
J21,245.383333,-151.650000,0.000000,Top
J22,204.953800,-121.010800,270.000000,Top
J23,204.953800,-110.395800,270.000000,Top
J24,204.953800,-54.250899,270.000000,Top
J25,204.953800,-68.248300,270.000000,Top
J27,205.960000,-35.330000,0.000000,Top
J28,207.860000,-46.420001,0.000000,Top
J29,262.600000,-33.715851,180.000000,Top
L1,224.300000,-143.100000,0.000000,Top
L2,239.650000,-132.000000,270.000000,Top
L3,216.700000,-126.000000,90.000000,Top
L5,211.900000,-38.250000,90.000000,Top
Q6,238.490000,-120.000000,0.000000,Top
Q7,249.490000,-119.500000,0.000000,Top
Q8,248.427500,-114.500000,180.000000,Top
R1,251.759998,-143.500000,270.000000,Top
R2,253.509998,-147.000000,0.000000,Top
R3,254.259998,-145.000000,0.000000,Top
R4,256.259998,-143.500000,90.000000,Top
R5,245.120000,-124.900000,0.000000,Top
R6,248.250000,-126.405000,90.000000,Top
R7,244.250000,-134.905000,0.000000,Top
R8,246.750000,-133.905000,0.000000,Top
R9,235.700000,-137.960000,180.000000,Top
R10,234.225000,-137.500000,90.000000,Top
R11,232.750000,-140.990000,90.000000,Top
R12,222.320000,-95.275000,0.000000,Top
R15,236.650000,-29.950000,270.000000,Top
R16,240.000000,-103.000000,0.000000,Top
R17,222.450000,-123.450000,90.000000,Top
R18,224.050000,-120.000000,90.000000,Top
R19,224.500000,-121.500000,180.000000,Top
R20,233.480000,-29.950000,90.000000,Top
R21,262.862500,-63.565000,180.000000,Top
R22,249.800000,-62.070000,270.000000,Top
R23,250.900000,-62.070000,270.000000,Top
R25,252.000000,-62.070000,270.000000,Top
R26,254.200000,-62.070000,270.000000,Top
R27,232.780000,-34.180000,270.000000,Top
R28,232.780000,-36.190000,270.000000,Top
R31,259.260000,-137.054999,270.000000,Top
R32,251.710000,-133.290000,90.000000,Top
R33,250.210000,-133.800000,0.000000,Top
R34,248.759998,-138.250000,270.000000,Top
R35,248.759998,-136.250000,270.000000,Top
R37,247.700000,-62.850000,90.000000,Top
R38,244.950001,-75.060000,90.000000,Top
R39,217.760000,-88.150000,180.000000,Top
R40,221.118000,-73.750000,270.000000,Top
R41,219.868000,-73.740000,270.000000,Top
R50,228.800000,-109.600000,180.000000,Top
R51,228.800000,-120.900000,0.000000,Top
R56,245.250000,-103.550000,90.000000,Top
R57,245.250000,-101.500000,270.000000,Top
R76,253.100000,-62.050000,270.000000,Top
R77,217.368000,-65.750000,90.000000,Top
R78,215.118000,-70.240000,180.000000,Top
R79,215.118000,-71.240000,180.000000,Top
R80,215.128000,-69.240000,180.000000,Top
R81,215.618000,-72.740000,90.000000,Top
R82,216.868000,-73.750000,90.000000,Top
R99,258.710000,-71.780000,180.000000,Top
R100,258.710000,-69.780000,0.000000,Top
R101,246.240000,-118.500000,0.000000,Top
R102,246.490000,-120.500000,180.000000,Top
R103,240.740000,-118.500000,180.000000,Top
R104,235.490000,-121.000000,180.000000,Top
R105,246.250000,-116.000000,0.000000,Top
R106,251.490000,-113.500000,0.000000,Top
R107,238.490000,-122.500000,180.000000,Top
R108,248.490000,-112.000000,0.000000,Top
R110,249.490000,-122.000000,180.000000,Top
R125,242.260000,-26.700000,0.000000,Top
R126,254.510000,-28.130000,90.000000,Top
R127,242.260000,-25.700000,0.000000,Top
R128,242.260000,-24.700000,180.000000,Top
